constituency_name,region_name,country_name,constituency_type,2017_con,2017_lab,2017_ld,2017_ukip,2017_green,2017_snp,2017_pc,2017_dup,2017_sf,2017_sdlp,2017_uup,2017_alliance,2017_other,2019_con,2019_lab,2019_ld,2019_brexit,2019_green,2019_snp,2019_pc,2019_dup,2019_sf,2019_sdlp,2019_uup,2019_alliance,2019_other
Worthing West,South East,England,Borough,0.554,0.332,0.055,0.03,0.03,0,0,0,0,0,0,0,0,0.558,0.286,0.11,0,0.037,0,0,0,0,0,0,0,0.009
Wrexham,Wales,Wales,County,0.437,0.489,0.025,0,0,0,0.05,0,0,0,0,0,0,0.453,0.39,0.043,0.036,0.013,0,0.064,0,0,0,0,0,0
Wycombe,South East,England,County,0.5,0.377,0.078,0.023,0.022,0,0,0,0,0,0,0,0,0.452,0.375,0.119,0,0.027,0,0,0,0,0,0,0,0.026
Wyre and Preston North,North West,England,County,0.583,0.35,0.048,0,0.018,0,0,0,0,0,0,0,0,0.597,0.28,0.084,0,0.033,0,0,0,0,0,0,0,0.006
Wyre Forest,West Midlands,England,County,0.584,0.323,0.038,0.035,0.02,0,0,0,0,0,0,0,0,0.652,0.228,0.081,0,0.039,0,0,0,0,0,0,0,0
Wythenshawe and Sale East,North West,England,Borough,0.296,0.622,0.033,0.032,0.013,0,0,0,0,0,0,0,0.004,0.301,0.533,0.07,0.061,0.035,0,0,0,0,0,0,0,0.001
Yeovil,South West,England,County,0.545,0.125,0.297,0,0.018,0,0,0,0,0,0,0,0.015,0.584,0.063,0.311,0,0.027,0,0,0,0,0,0,0,0.015
Ynys Mon,Wales,Wales,County,0.278,0.419,0.013,0.017,0,0,0.274,0,0,0,0,0,0,0.355,0.301,0,0.06,0,0,0.285,0,0,0,0,0,0
York Central,Yorkshire and The Humber,England,Borough,0.302,0.652,0.047,0,0,0,0,0,0,0,0,0,0,0.278,0.552,0.084,0.03,0.043,0,0,0,0,0,0,0,0.014
York Outer,Yorkshire and The Humber,England,County,0.511,0.367,0.103,0,0.019,0,0,0,0,0,0,0,0,0.494,0.313,0.181,0,0,0,0,0,0,0,0,0,0.013
