constituency_name,region_name,country_name,constituency_type,2017_con,2017_lab,2017_ld,2017_ukip,2017_green,2017_snp,2017_pc,2017_dup,2017_sf,2017_sdlp,2017_uup,2017_alliance,2017_other,2019_con,2019_lab,2019_ld,2019_brexit,2019_green,2019_snp,2019_pc,2019_dup,2019_sf,2019_sdlp,2019_uup,2019_alliance,2019_other
Feltham and Heston,London,England,Borough,0.318,0.612,0.026,0.028,0.015,0,0,0,0,0,0,0,0,0.356,0.52,0.065,0.035,0.024,0,0,0,0,0,0,0,0
Fermanagh and South Tyrone,Northern Ireland,Northern Ireland,County,0,0,0,0,0.008,0,0,0,0.472,0.048,0.455,0.017,0,0,0,0,0,0,0,0,0,0.433,0.068,0.432,0.052,0.015
Filton and Bradley Stoke,South West,England,County,0.5,0.417,0.06,0,0.023,0,0,0,0,0,0,0,0,0.489,0.384,0.093,0,0.029,0,0,0,0,0,0,0,0.005
Finchley and Golders Green,London,England,Borough,0.47,0.438,0.066,0.009,0.018,0,0,0,0,0,0,0,0,0.438,0.242,0.319,0,0,0,0,0,0,0,0,0,0
Folkestone and Hythe,South East,England,County,0.547,0.285,0.072,0.044,0.042,0,0,0,0,0,0,0,0.01,0.601,0.24,0.098,0,0.046,0,0,0,0,0,0,0,0.016
Forest Of Dean,South West,England,County,0.543,0.359,0.039,0.024,0.024,0,0,0,0,0,0,0,0.011,0.596,0.288,0,0,0.091,0,0,0,0,0,0,0,0.025
Foyle,Northern Ireland,Northern Ireland,County,0,0,0,0,0,0,0,0.161,0.397,0.393,0,0.018,0.03,0,0,0,0,0,0,0,0.101,0.207,0.57,0.023,0.027,0.071
Fylde,North West,England,County,0.588,0.334,0.05,0,0.027,0,0,0,0,0,0,0,0,0.609,0.253,0.08,0,0.037,0,0,0,0,0,0,0,0.02
Gainsborough,East Midlands,England,County,0.618,0.287,0.071,0,0.024,0,0,0,0,0,0,0,0,0.664,0.214,0.101,0,0,0,0,0,0,0,0,0,0.021
Garston and Halewood,North West,England,Borough,0.177,0.777,0.032,0,0.014,0,0,0,0,0,0,0,0,0.13,0.723,0.062,0.055,0.022,0,0,0,0,0,0,0,0.006
Gateshead,North East,England,Borough,0.239,0.651,0.041,0.054,0.015,0,0,0,0,0,0,0,0,0.347,0.536,0.073,0,0.043,0,0,0,0,0,0,0,0
Gedling,East Midlands,England,County,0.428,0.519,0.02,0.022,0.01,0,0,0,0,0,0,0,0,0.455,0.441,0.046,0.036,0.022,0,0,0,0,0,0,0,0
Gillingham and Rainham,South East,England,Borough,0.554,0.361,0.028,0.043,0.011,0,0,0,0,0,0,0,0.003,0.613,0.284,0.054,0,0.023,0,0,0,0,0,0,0,0.026
Glasgow Central,Scotland,Scotland,Borough,0.139,0.384,0.029,0,0,0.447,0,0,0,0,0,0,0,0.092,0.331,0.049,0,0.036,0.492,0,0,0,0,0,0,0
Glasgow East,Scotland,Scotland,Borough,0.188,0.386,0.016,0.014,0,0.388,0,0,0,0,0,0,0.008,0.148,0.332,0.042,0,0,0.477,0,0,0,0,0,0,0
Glasgow North,Scotland,Scotland,Borough,0.147,0.345,0.034,0,0.097,0.376,0,0,0,0,0,0,0,0.105,0.314,0.066,0.009,0.036,0.469,0,0,0,0,0,0,0
Glasgow North East,Scotland,Scotland,Borough,0.129,0.429,0.02,0,0,0.422,0,0,0,0,0,0,0,0.105,0.394,0.032,0,0,0.469,0,0,0,0,0,0,0
Glasgow North West,Scotland,Scotland,Borough,0.18,0.359,0.036,0,0,0.425,0,0,0,0,0,0,0,0.152,0.285,0.068,0,0,0.495,0,0,0,0,0,0,0
Glasgow South,Scotland,Scotland,Borough,0.191,0.366,0.032,0,0,0.411,0,0,0,0,0,0,0,0.131,0.291,0.059,0.011,0.026,0.481,0,0,0,0,0,0,0
Glasgow South West,Scotland,Scotland,Borough,0.156,0.405,0.019,0.014,0,0.407,0,0,0,0,0,0,0,0.115,0.346,0.039,0.022,0,0.479,0,0,0,0,0,0,0
Glenrothes,Scotland,Scotland,County,0.195,0.347,0.03,0,0,0.428,0,0,0,0,0,0,0,0.167,0.228,0.064,0.031,0,0.511,0,0,0,0,0,0,0
Gloucester,South West,England,Borough,0.503,0.401,0.05,0.028,0.014,0,0,0,0,0,0,0,0.004,0.542,0.351,0.081,0,0.026,0,0,0,0,0,0,0,0
Gordon,Scotland,Scotland,County,0.407,0.118,0.116,0,0,0.359,0,0,0,0,0,0,0,0.413,0.055,0.106,0,0,0.427,0,0,0,0,0,0,0
Gosport,South East,England,Borough,0.619,0.272,0.047,0.036,0.021,0,0,0,0,0,0,0,0.005,0.665,0.185,0.113,0,0.037,0,0,0,0,0,0,0,0
Gower,Wales,Wales,County,0.427,0.499,0.02,0.014,0,0,0.037,0,0,0,0,0,0.003,0.413,0.454,0.05,0.031,0,0,0.051,0,0,0,0,0,0
Grantham and Stamford,East Midlands,England,County,0.62,0.265,0.055,0.031,0.014,0,0,0,0,0,0,0,0.015,0.657,0.193,0.11,0,0.04,0,0,0,0,0,0,0,0
Gravesham,South East,England,County,0.556,0.365,0.025,0.036,0.015,0,0,0,0,0,0,0,0.004,0.622,0.294,0.054,0,0.029,0,0,0,0,0,0,0,0
Great Grimsby,Yorkshire and The Humber,England,Borough,0.422,0.494,0.027,0.046,0,0,0,0,0,0,0,0,0.011,0.549,0.327,0.032,0.072,0.016,0,0,0,0,0,0,0,0.005
Great Yarmouth,East,England,County,0.541,0.361,0.022,0.063,0.013,0,0,0,0,0,0,0,0,0.658,0.251,0.038,0,0.024,0,0,0,0,0,0,0,0.028
Greenwich and Woolwich,London,England,Borough,0.254,0.644,0.071,0,0.03,0,0,0,0,0,0,0,0,0.221,0.568,0.137,0.023,0.044,0,0,0,0,0,0,0,0.007
Guildford,South East,England,County,0.546,0.19,0.239,0,0.021,0,0,0,0,0,0,0,0.005,0.449,0.077,0.392,0,0,0,0,0,0,0,0,0,0.083
Hackney North and Stoke Newington,London,England,Borough,0.127,0.751,0.068,0,0.046,0,0,0,0,0,0,0,0.009,0.119,0.703,0.075,0.011,0.088,0,0,0,0,0,0,0,0.004
Hackney South and Shoreditch,London,England,Borough,0.109,0.794,0.057,0,0.027,0,0,0,0,0,0,0,0.012,0.108,0.733,0.089,0.014,0.054,0,0,0,0,0,0,0,0.002
Halesowen and Rowley Regis,West Midlands,England,Borough,0.519,0.4,0.019,0.048,0.01,0,0,0,0,0,0,0,0.004,0.605,0.32,0.041,0,0.022,0,0,0,0,0,0,0,0.013
Halifax,Yorkshire and The Humber,England,Borough,0.417,0.528,0.022,0.032,0,0,0,0,0,0,0,0,0,0.407,0.463,0.049,0.061,0.02,0,0,0,0,0,0,0,0
Haltemprice and Howden,Yorkshire and The Humber,England,County,0.61,0.31,0.048,0,0.014,0,0,0,0,0,0,0,0.018,0.624,0.215,0.105,0,0.035,0,0,0,0,0,0,0,0.021
Halton,North West,England,County,0.216,0.729,0.018,0.03,0,0,0,0,0,0,0,0,0.006,0.224,0.635,0.039,0.081,0.021,0,0,0,0,0,0,0,0
Hammersmith,London,England,Borough,0.282,0.639,0.054,0.01,0.015,0,0,0,0,0,0,0,0.001,0.235,0.579,0.134,0.019,0.034,0,0,0,0,0,0,0,0
Hampstead and Kilburn,London,England,Borough,0.324,0.59,0.07,0,0.013,0,0,0,0,0,0,0,0.003,0.242,0.489,0.229,0.012,0.028,0,0,0,0,0,0,0,0
Harborough,East Midlands,England,County,0.523,0.307,0.126,0.024,0.019,0,0,0,0,0,0,0,0,0.553,0.252,0.159,0,0.03,0,0,0,0,0,0,0,0.007
Harlow,East,England,County,0.54,0.384,0.022,0.04,0.015,0,0,0,0,0,0,0,0,0.635,0.31,0.055,0,0,0,0,0,0,0,0,0,0
Harrogate and Knaresborough,Yorkshire and The Humber,England,County,0.555,0.201,0.235,0,0,0,0,0,0,0,0,0,0.01,0.526,0.096,0.356,0,0,0,0,0,0,0,0,0,0.021
Harrow East,London,England,Borough,0.494,0.46,0.031,0,0.015,0,0,0,0,0,0,0,0,0.544,0.379,0.077,0,0,0,0,0,0,0,0,0,0
Harrow West,London,England,Borough,0.344,0.608,0.025,0.009,0.013,0,0,0,0,0,0,0,0,0.343,0.524,0.09,0.019,0.023,0,0,0,0,0,0,0,0
Hartlepool,North East,England,Borough,0.342,0.525,0.018,0.115,0,0,0,0,0,0,0,0,0,0.289,0.377,0.041,0.258,0,0,0,0,0,0,0,0,0.034
Harwich and North Essex,East,England,County,0.585,0.304,0.054,0.033,0.02,0,0,0,0,0,0,0,0.003,0.613,0.224,0.113,0,0.037,0,0,0,0,0,0,0,0.013
Hastings and Rye,South East,England,County,0.469,0.462,0.034,0.027,0,0,0,0,0,0,0,0,0.008,0.496,0.421,0.073,0,0,0,0,0,0,0,0,0,0.01
Havant,South East,England,Borough,0.598,0.253,0.06,0.043,0.024,0,0,0,0,0,0,0,0.021,0.654,0.18,0.124,0,0.035,0,0,0,0,0,0,0,0.007
Hayes and Harlington,London,England,Borough,0.286,0.665,0.013,0.024,0.012,0,0,0,0,0,0,0,0,0.347,0.558,0.044,0.029,0.017,0,0,0,0,0,0,0,0.004
Hazel Grove,North West,England,County,0.454,0.205,0.329,0,0.012,0,0,0,0,0,0,0,0,0.488,0.124,0.388,0,0,0,0,0,0,0,0,0,0
Hemel Hempstead,East,England,County,0.55,0.369,0.062,0,0.02,0,0,0,0,0,0,0,0,0.565,0.281,0.123,0,0.031,0,0,0,0,0,0,0,0
Hemsworth,Yorkshire and The Humber,England,County,0.339,0.56,0.02,0.056,0,0,0,0,0,0,0,0,0.025,0.348,0.375,0.039,0.135,0.021,0,0,0,0,0,0,0,0.082
Hendon,London,England,Borough,0.48,0.46,0.038,0.011,0.011,0,0,0,0,0,0,0,0,0.488,0.411,0.084,0,0.017,0,0,0,0,0,0,0,0
Henley,South East,England,County,0.591,0.201,0.149,0.02,0.033,0,0,0,0,0,0,0,0.007,0.548,0.097,0.309,0,0.047,0,0,0,0,0,0,0,0
Hereford and South Herefordshire,West Midlands,England,County,0.535,0.238,0.07,0.023,0.024,0,0,0,0,0,0,0,0.11,0.612,0.216,0.125,0,0.048,0,0,0,0,0,0,0,0
Hertford and Stortford,East,England,County,0.603,0.286,0.081,0,0.03,0,0,0,0,0,0,0,0,0.561,0.234,0.143,0,0.045,0,0,0,0,0,0,0,0.016
Hertsmere,East,England,County,0.611,0.287,0.053,0.03,0.019,0,0,0,0,0,0,0,0,0.625,0.217,0.126,0,0.032,0,0,0,0,0,0,0,0
Hexham,North East,England,County,0.541,0.341,0.071,0.02,0.027,0,0,0,0,0,0,0,0,0.545,0.316,0.101,0,0.037,0,0,0,0,0,0,0,0
Heywood and Middleton,North West,England,County,0.38,0.533,0.022,0.065,0,0,0,0,0,0,0,0,0,0.431,0.417,0.044,0.083,0.026,0,0,0,0,0,0,0,0
High Peak,East Midlands,England,County,0.454,0.497,0.05,0,0,0,0,0,0,0,0,0,0,0.459,0.448,0.051,0.022,0.021,0,0,0,0,0,0,0,0
Hitchin and Harpenden,East,England,County,0.531,0.326,0.106,0,0.023,0,0,0,0,0,0,0,0.015,0.471,0.169,0.354,0,0,0,0,0,0,0,0,0,0.006
Holborn and St Pancras,London,England,Borough,0.184,0.701,0.068,0.012,0.034,0,0,0,0,0,0,0,0.002,0.156,0.645,0.129,0.018,0.048,0,0,0,0,0,0,0,0.003
Hornchurch and Upminster,London,England,Borough,0.602,0.286,0.024,0.062,0.019,0,0,0,0,0,0,0,0.006,0.658,0.226,0.072,0,0.036,0,0,0,0,0,0,0,0.009
Hornsey and Wood Green,London,England,Borough,0.148,0.654,0.161,0.007,0.019,0,0,0,0,0,0,0,0.011,0.112,0.575,0.26,0.012,0.036,0,0,0,0,0,0,0,0.005
Horsham,South East,England,County,0.595,0.217,0.123,0.025,0.03,0,0,0,0,0,0,0,0.01,0.568,0.149,0.234,0,0.042,0,0,0,0,0,0,0,0.008
Houghton and Sunderland South,North East,England,Borough,0.297,0.595,0.022,0.057,0.017,0,0,0,0,0,0,0,0.012,0.329,0.407,0.058,0.155,0.028,0,0,0,0,0,0,0,0.023
Hove,South East,England,Borough,0.316,0.641,0.023,0,0.017,0,0,0,0,0,0,0,0.003,0.281,0.583,0.066,0.02,0.044,0,0,0,0,0,0,0,0.006
Huddersfield,Yorkshire and The Humber,England,Borough,0.33,0.604,0.026,0,0.032,0,0,0,0,0,0,0,0.008,0.372,0.49,0.057,0.04,0.042,0,0,0,0,0,0,0,0
Huntingdon,East,England,County,0.551,0.309,0.085,0.037,0.018,0,0,0,0,0,0,0,0,0.548,0.22,0.159,0,0.038,0,0,0,0,0,0,0,0.035
Hyndburn,North West,England,Borough,0.405,0.534,0.018,0.043,0,0,0,0,0,0,0,0,0,0.485,0.415,0.029,0.051,0.02,0,0,0,0,0,0,0,0
Ilford North,London,England,Borough,0.396,0.578,0.02,0,0,0,0,0,0,0,0,0,0.007,0.401,0.505,0.053,0.019,0.017,0,0,0,0,0,0,0,0.004
Ilford South,London,England,Borough,0.209,0.758,0.013,0.008,0.009,0,0,0,0,0,0,0,0.001,0.205,0.656,0.034,0.019,0.013,0,0,0,0,0,0,0,0.073
Inverclyde,Scotland,Scotland,County,0.215,0.375,0.025,0,0,0.385,0,0,0,0,0,0,0,0.157,0.295,0.064,0,0,0.484,0,0,0,0,0,0,0
Inverness_ Nairn_ Badenoch and Strathspey,Scotland,Scotland,County,0.305,0.162,0.123,0,0,0.399,0,0,0,0,0,0,0.012,0.288,0.075,0.107,0.02,0.031,0.479,0,0,0,0,0,0,0
Ipswich,East,England,Borough,0.457,0.474,0.023,0.027,0.016,0,0,0,0,0,0,0,0.002,0.503,0.393,0.049,0.029,0.026,0,0,0,0,0,0,0,0
Isle Of Wight,South East,England,County,0.513,0.23,0.037,0.026,0.173,0,0,0,0,0,0,0,0.021,0.562,0.243,0,0,0.152,0,0,0,0,0,0,0,0.043
Islington North,London,England,Borough,0.125,0.73,0.09,0.008,0.041,0,0,0,0,0,0,0,0.007,0.102,0.643,0.156,0.014,0.08,0,0,0,0,0,0,0,0.004
Islington South and Finsbury,London,England,Borough,0.207,0.628,0.121,0.019,0.025,0,0,0,0,0,0,0,0,0.168,0.563,0.2,0.024,0.042,0,0,0,0,0,0,0,0.004
Islwyn,Wales,Wales,County,0.272,0.588,0.019,0.044,0,0,0.076,0,0,0,0,0,0,0.288,0.447,0.038,0.141,0.019,0,0.067,0,0,0,0,0,0
Jarrow,North East,England,Borough,0.25,0.651,0.027,0.054,0.017,0,0,0,0,0,0,0,0,0.276,0.451,0.058,0.101,0.02,0,0,0,0,0,0,0,0.094
Keighley,Yorkshire and The Humber,England,County,0.461,0.465,0.024,0.025,0.015,0,0,0,0,0,0,0,0.01,0.481,0.439,0.049,0.016,0,0,0,0,0,0,0,0,0.015
Kenilworth and Southam,West Midlands,England,County,0.608,0.256,0.096,0.018,0.022,0,0,0,0,0,0,0,0,0.577,0.179,0.19,0,0.045,0,0,0,0,0,0,0,0.009
Kensington,London,England,Borough,0.422,0.422,0.122,0,0.02,0,0,0,0,0,0,0,0.014,0.383,0.38,0.213,0.009,0.012,0,0,0,0,0,0,0,0.003
Kettering,East Midlands,England,County,0.579,0.365,0.033,0,0.023,0,0,0,0,0,0,0,0,0.603,0.264,0.068,0,0.031,0,0,0,0,0,0,0,0.033
Kilmarnock and Loudoun,Scotland,Scotland,County,0.267,0.289,0.021,0,0,0.423,0,0,0,0,0,0,0,0.243,0.189,0.051,0,0,0.508,0,0,0,0,0,0,0.009
Kingston and Surbiton,London,England,Borough,0.381,0.148,0.447,0.011,0.009,0,0,0,0,0,0,0,0.004,0.339,0.107,0.511,0.013,0.017,0,0,0,0,0,0,0,0.013
Kingston upon Hull East,Yorkshire and The Humber,England,Borough,0.299,0.583,0.034,0.07,0.013,0,0,0,0,0,0,0,0,0.354,0.392,0.053,0.178,0.024,0,0,0,0,0,0,0,0
Kingston upon Hull North,Yorkshire and The Humber,England,Borough,0.252,0.638,0.05,0.043,0.016,0,0,0,0,0,0,0,0,0.276,0.498,0.061,0.139,0.026,0,0,0,0,0,0,0,0
Kingston upon Hull West and Hessle,Yorkshire and The Humber,England,Borough,0.298,0.531,0.064,0.04,0.01,0,0,0,0,0,0,0,0.057,0.336,0.427,0.056,0.18,0.002,0,0,0,0,0,0,0,0
Kingswood,South West,England,Borough,0.549,0.395,0.036,0,0.02,0,0,0,0,0,0,0,0,0.562,0.334,0.069,0,0.024,0,0,0,0,0,0,0,0.01
Kirkcaldy and Cowdenbeath,Scotland,Scotland,County,0.233,0.368,0.024,0.012,0,0.363,0,0,0,0,0,0,0,0.201,0.326,0.062,0.024,0.035,0.352,0,0,0,0,0,0,0
Knowsley,North West,England,Borough,0.093,0.853,0.021,0.023,0.009,0,0,0,0,0,0,0,0,0.081,0.808,0.02,0.061,0.023,0,0,0,0,0,0,0,0.007
Lagan Valley,Northern Ireland,Northern Ireland,County,0.01,0,0,0,0,0,0,0.596,0.035,0.075,0.168,0.111,0.005,0.021,0,0,0,0,0,0,0.431,0.024,0.039,0.19,0.288,0.007
Lanark and Hamilton East,Scotland,Scotland,County,0.321,0.319,0.024,0.011,0,0.326,0,0,0,0,0,0,0,0.321,0.202,0.057,0,0,0.419,0,0,0,0,0,0,0
Lancaster and Fleetwood,North West,England,County,0.406,0.551,0.025,0,0.017,0,0,0,0,0,0,0,0,0.416,0.468,0.045,0.04,0.031,0,0,0,0,0,0,0,0
Leeds Central,Yorkshire and The Humber,England,Borough,0.205,0.702,0.022,0.043,0.025,0,0,0,0,0,0,0,0.003,0.226,0.617,0.048,0.061,0.043,0,0,0,0,0,0,0,0.006
Leeds East,Yorkshire and The Humber,England,Borough,0.306,0.614,0.018,0.042,0.01,0,0,0,0,0,0,0,0.01,0.357,0.498,0.046,0.076,0.022,0,0,0,0,0,0,0,0
Leeds North East,Yorkshire and The Humber,England,Borough,0.31,0.631,0.037,0,0.013,0,0,0,0,0,0,0,0.009,0.236,0.575,0.112,0.035,0.038,0,0,0,0,0,0,0,0.003
Leeds North West,Yorkshire and The Humber,England,Borough,0.197,0.441,0.35,0,0.013,0,0,0,0,0,0,0,0,0.268,0.486,0.191,0.026,0.028,0,0,0,0,0,0,0,0
Leeds West,Yorkshire and The Humber,England,Borough,0.262,0.64,0.021,0.043,0.024,0,0,0,0,0,0,0,0.01,0.289,0.551,0.044,0.067,0.032,0,0,0,0,0,0,0,0.018
Leicester East,East Midlands,England,Borough,0.242,0.67,0.026,0,0.02,0,0,0,0,0,0,0,0.042,0.386,0.508,0.057,0.025,0.018,0,0,0,0,0,0,0,0.007
Leicester South,East Midlands,England,Borough,0.216,0.736,0.025,0,0.023,0,0,0,0,0,0,0,0,0.218,0.67,0.055,0.024,0.033,0,0,0,0,0,0,0,0
Leicester West,East Midlands,England,Borough,0.314,0.608,0.021,0.037,0.016,0,0,0,0,0,0,0,0.003,0.376,0.497,0.052,0.047,0.028,0,0,0,0,0,0,0,0
Leigh,North West,England,County,0.358,0.562,0.02,0.059,0,0,0,0,0,0,0,0,0,0.453,0.411,0.048,0.067,0,0,0,0,0,0,0,0,0.021
Lewes,South East,England,County,0.495,0.112,0.393,0,0,0,0,0,0,0,0,0,0,0.479,0.058,0.434,0,0.026,0,0,0,0,0,0,0,0.002
Lewisham_ Deptford,London,England,Borough,0.137,0.77,0.053,0,0.03,0,0,0,0,0,0,0,0.01,0.114,0.708,0.104,0.014,0.056,0,0,0,0,0,0,0,0.004
Lewisham East,London,England,Borough,0.23,0.679,0.044,0.017,0.017,0,0,0,0,0,0,0,0.012,0.215,0.595,0.112,0.028,0.038,0,0,0,0,0,0,0,0.012
Lewisham West and Penge,London,England,Borough,0.23,0.666,0.062,0.013,0.022,0,0,0,0,0,0,0,0.007,0.198,0.612,0.12,0.02,0.046,0,0,0,0,0,0,0,0.004
Leyton and Wanstead,London,England,County,0.208,0.698,0.064,0,0.029,0,0,0,0,0,0,0,0,0.18,0.647,0.105,0.018,0.041,0,0,0,0,0,0,0,0.01
Lichfield,West Midlands,England,County,0.636,0.288,0.05,0,0.026,0,0,0,0,0,0,0,0,0.645,0.208,0.104,0,0.032,0,0,0,0,0,0,0,0.011
Lincoln,East Midlands,England,Borough,0.447,0.479,0.026,0.026,0.012,0,0,0,0,0,0,0,0.009,0.479,0.41,0.048,0.021,0.024,0,0,0,0,0,0,0,0.018
Linlithgow and East Falkirk,Scotland,Scotland,County,0.291,0.311,0.034,0,0,0.363,0,0,0,0,0,0,0,0.247,0.182,0.076,0.022,0.02,0.442,0,0,0,0,0,0,0.01
Liverpool_ Riverside,North West,England,Borough,0.097,0.845,0.025,0,0.033,0,0,0,0,0,0,0,0,0.078,0.78,0.051,0.034,0.057,0,0,0,0,0,0,0,0
Liverpool_ Walton,North West,England,Borough,0.086,0.857,0.015,0,0.012,0,0,0,0,0,0,0,0.029,0.099,0.847,0.019,0,0.02,0,0,0,0,0,0,0,0.016
Liverpool_ Wavertree,North West,England,Borough,0.12,0.796,0.065,0,0.014,0,0,0,0,0,0,0,0.005,0.097,0.722,0.093,0.044,0.031,0,0,0,0,0,0,0,0.012
Liverpool_ West Derby,North West,England,Borough,0.099,0.827,0.012,0,0.007,0,0,0,0,0,0,0,0.054,0.094,0.776,0.029,0.046,0.014,0,0,0,0,0,0,0,0.042
Livingston,Scotland,Scotland,County,0.244,0.327,0.029,0,0,0.401,0,0,0,0,0,0,0,0.223,0.218,0.063,0,0.026,0.469,0,0,0,0,0,0,0
Llanelli,Wales,Wales,County,0.237,0.535,0.014,0.033,0,0,0.182,0,0,0,0,0,0,0.3,0.422,0,0.094,0,0,0.184,0,0,0,0,0,0
Loughborough,East Midlands,England,County,0.499,0.42,0.036,0.027,0.018,0,0,0,0,0,0,0,0,0.512,0.38,0.076,0,0.028,0,0,0,0,0,0,0,0.004
Louth and Horncastle,East Midlands,England,County,0.639,0.267,0.038,0.047,0,0,0,0,0,0,0,0,0.009,0.727,0.175,0.079,0,0,0,0,0,0,0,0,0,0.02
Ludlow,West Midlands,England,County,0.629,0.243,0.107,0,0.021,0,0,0,0,0,0,0,0,0.641,0.151,0.17,0,0.038,0,0,0,0,0,0,0,0
Luton North,East,England,Borough,0.33,0.638,0.017,0,0.014,0,0,0,0,0,0,0,0,0.335,0.552,0.048,0.029,0.018,0,0,0,0,0,0,0,0.019
Luton South,East,England,Borough,0.323,0.624,0.023,0.017,0.01,0,0,0,0,0,0,0,0.003,0.31,0.518,0,0.038,0.024,0,0,0,0,0,0,0,0.111
Macclesfield,North West,England,County,0.527,0.368,0.062,0,0.022,0,0,0,0,0,0,0,0.021,0.525,0.326,0.106,0,0.043,0,0,0,0,0,0,0,0
Maidenhead,South East,England,County,0.648,0.193,0.112,0.015,0.016,0,0,0,0,0,0,0,0.016,0.577,0.14,0.244,0,0.039,0,0,0,0,0,0,0,0
Maidstone and The Weald,South East,England,County,0.564,0.221,0.163,0.031,0.017,0,0,0,0,0,0,0,0.003,0.604,0.183,0.164,0,0.042,0,0,0,0,0,0,0,0.007
Makerfield,North West,England,County,0.313,0.602,0.028,0,0,0,0,0,0,0,0,0,0.057,0.344,0.451,0.048,0.131,0.026,0,0,0,0,0,0,0,0
Maldon,East,England,County,0.679,0.213,0.043,0.038,0.021,0,0,0,0,0,0,0,0.005,0.72,0.124,0.119,0,0.037,0,0,0,0,0,0,0,0
Manchester Central,North West,England,Borough,0.142,0.774,0.034,0.03,0.017,0,0,0,0,0,0,0,0.004,0.148,0.704,0.065,0.045,0.036,0,0,0,0,0,0,0,0.002
Manchester_ Gorton,North West,England,Borough,0.073,0.763,0.057,0.021,0.023,0,0,0,0,0,0,0,0.064,0.095,0.776,0.055,0.035,0.038,0,0,0,0,0,0,0,0
Manchester_ Withington,North West,England,Borough,0.103,0.717,0.159,0,0.016,0,0,0,0,0,0,0,0.004,0.11,0.677,0.151,0.025,0.037,0,0,0,0,0,0,0,0
Mansfield,East Midlands,England,County,0.466,0.445,0.014,0.053,0,0,0,0,0,0,0,0,0.022,0.639,0.308,0.033,0,0,0,0,0,0,0,0,0,0.02
Meon Valley,South East,England,County,0.657,0.183,0.109,0.026,0.024,0,0,0,0,0,0,0,0,0.643,0.103,0.214,0,0.04,0,0,0,0,0,0,0,0
Meriden,West Midlands,England,County,0.62,0.269,0.049,0.037,0.026,0,0,0,0,0,0,0,0,0.634,0.213,0.104,0,0.049,0,0,0,0,0,0,0,0
Merthyr Tydfil and Rhymney,Wales,Wales,County,0.181,0.668,0.025,0.044,0,0,0.082,0,0,0,0,0,0,0.196,0.524,0.035,0.112,0,0,0.076,0,0,0,0,0,0.058
Mid Bedfordshire,East,England,County,0.617,0.284,0.06,0,0.028,0,0,0,0,0,0,0,0.011,0.598,0.217,0.126,0,0.038,0,0,0,0,0,0,0,0.021
Mid Derbyshire,East Midlands,England,County,0.586,0.355,0.036,0,0.023,0,0,0,0,0,0,0,0,0.588,0.276,0.096,0,0.039,0,0,0,0,0,0,0,0
Middlesbrough,North East,England,Borough,0.267,0.657,0.01,0.041,0.007,0,0,0,0,0,0,0,0.018,0.258,0.505,0.024,0.064,0.016,0,0,0,0,0,0,0,0.133
Middlesbrough South and East Cleveland,North East,England,County,0.496,0.475,0.028,0,0,0,0,0,0,0,0,0,0,0.588,0.345,0.041,0,0.026,0,0,0,0,0,0,0,0
Mid Dorset and North Poole,South West,England,County,0.592,0.133,0.275,0,0,0,0,0,0,0,0,0,0,0.604,0.07,0.299,0,0.027,0,0,0,0,0,0,0,0
Midlothian,Scotland,Scotland,County,0.254,0.364,0.038,0,0,0.344,0,0,0,0,0,0,0,0.217,0.297,0.07,0,0,0.415,0,0,0,0,0,0,0
Mid Norfolk,East,England,County,0.59,0.301,0.051,0.038,0.021,0,0,0,0,0,0,0,0,0.624,0.222,0.138,0,0,0,0,0,0,0,0,0,0.017
Mid Sussex,South East,England,County,0.569,0.25,0.127,0.02,0.025,0,0,0,0,0,0,0,0.008,0.533,0.179,0.243,0,0.036,0,0,0,0,0,0,0,0.01
Mid Ulster,Northern Ireland,Northern Ireland,County,0,0,0,0,0,0,0,0.269,0.545,0.098,0.065,0.023,0,0,0,0,0,0,0,0,0.245,0.459,0.143,0.059,0.079,0.015
Mid Worcestershire,West Midlands,England,County,0.653,0.229,0.063,0.03,0.025,0,0,0,0,0,0,0,0,0.667,0.168,0.115,0,0.039,0,0,0,0,0,0,0,0.011
Milton Keynes North,South East,England,County,0.475,0.444,0.039,0.022,0.017,0,0,0,0,0,0,0,0.003,0.495,0.395,0.08,0,0.031,0,0,0,0,0,0,0,0
Milton Keynes South,South East,England,Borough,0.475,0.449,0.029,0.028,0.018,0,0,0,0,0,0,0,0,0.5,0.392,0.073,0,0.023,0,0,0,0,0,0,0,0.012
Mitcham and Morden,London,England,Borough,0.242,0.687,0.031,0.022,0.013,0,0,0,0,0,0,0,0.005,0.251,0.611,0.081,0.026,0.025,0,0,0,0,0,0,0,0.005
Mole Valley,South East,England,County,0.619,0.139,0.193,0.024,0.026,0,0,0,0,0,0,0,0,0.554,0.052,0.343,0,0.033,0,0,0,0,0,0,0,0.018
Monmouth,Wales,Wales,County,0.531,0.366,0.042,0.015,0.019,0,0.027,0,0,0,0,0,0,0.521,0.322,0.098,0,0.027,0,0.024,0,0,0,0,0,0.009
Montgomeryshire,Wales,Wales,County,0.518,0.159,0.252,0,0.015,0,0.056,0,0,0,0,0,0,0.585,0.163,0.23,0,0,0,0,0,0,0,0,0,0.021
Moray,Scotland,Scotland,County,0.476,0.109,0.023,0,0,0.388,0,0,0,0,0,0,0.004,0.453,0.05,0.046,0,0,0.442,0,0,0,0,0,0,0.008
